no,35.93154,-84.01588,abridged beer company,100 Lockett Rd, Knoxville, TN 37919, United States
no,35.95316,-83.96377,albright grove brewing company,2924 Sutherland Ave, Knoxville, TN 37919, United States
no,35.76191,-83.96586,blackberry farm brewery,108 Everett Ave, Maryville, TN 37804, United States
no,35.96543,-83.91842,blackhorse brewery,430 S Gay St, Knoxville, TN 37902, United States
no,36.211719,-84.0731926,clinch river brewing,2045 Norris Fwy, Norris, TN 37705, United States
no,35.96557,-83.91849,downtown grill brewery,424 S Gay St, Knoxville, TN 37902, United States
no,35.99217,-83.94267,fanatic brewing co ,2735 N Central St, Knoxville, TN 37917, United States
no,35.97731,-83.92634,schulz bräu brewing company,126 Bernard Ave, Knoxville, TN 37917, United States
no,35.7085336,-83.521008,smoky mountain brewery,1004 Parkway, Gatlinburg, TN 37738, United States
no,35.8022648,-83.5710745,yee haw brewing co ,131 The Island Dr, Pigeon Forge, TN 37863, United States
no,35.95975,-83.90311,alliance brewing co,1130 Sevier Ave, Knoxville, TN 37920, United States
no,35.97432,-83.92033,geezers brewing co,225 E 5th Ave, Knoxville, TN 37917, United States
no,35.9028866,-84.1482036,home,10936 Parkside Dr, Knoxville, TN 37934, United States
no,35.97626,-83.92371,next level brewing company,700 N Broadway NE, Knoxville, TN 37917, United States
no,35.96062,-83.89669,printshop beer co,1532 Island Home Ave, Knoxville, TN 37920, United States
no,35.75608,-83.99436,round 6 brewing,427 Whitecrest Dr, Maryville, TN 37801, United States
yes,35.97776,-83.92358,elkmont exchange brewery,745 N Broadway St, Knoxville, TN 37917, United States
yes,35.99062,-83.94067,elst brewing company,2419 N Central St, Knoxville, TN 37917, United States
yes,36.00828,-83.94812,hexagon brewing company,1002 Dutch Valley Dr, Knoxville, TN 37918, United States
yes,35.96658,-83.92441,balter beerworks,100 Broadway SW, Knoxville, TN 37902, United States
yes,35.97463,-83.9226,crafty bastard brewery,6 Emory Pl, Knoxville, TN 37917, United States
yes,35.9760533,-83.9149333,last days of autumn brewing,808 E Magnolia Ave, Knoxville, TN 37917, United States
yes,35.96934,-83.91802,pretentious beer co,131 S Central St, Knoxville, TN 37902, United States
